trip_number,planet,planet_name,morties_sent,survived,steps_taken,morties_in_citadel,morties_on_planet_jessica,morties_lost
1,0,"""On a Cob"" Planet",2,False,479,520,252,228
2,0,"""On a Cob"" Planet",2,False,480,518,252,230
3,0,"""On a Cob"" Planet",2,False,481,516,252,232
4,0,"""On a Cob"" Planet",2,True,482,514,254,232
5,0,"""On a Cob"" Planet",2,True,483,512,256,232
6,0,"""On a Cob"" Planet",2,True,484,510,258,232
7,0,"""On a Cob"" Planet",2,True,485,508,260,232
8,0,"""On a Cob"" Planet",2,True,486,506,262,232
9,0,"""On a Cob"" Planet",2,True,487,504,264,232
10,0,"""On a Cob"" Planet",2,False,488,502,264,234
11,0,"""On a Cob"" Planet",2,False,489,500,264,236
12,0,"""On a Cob"" Planet",2,False,490,498,264,238
13,0,"""On a Cob"" Planet",2,False,491,496,264,240
14,0,"""On a Cob"" Planet",2,False,492,494,264,242
15,0,"""On a Cob"" Planet",2,True,493,492,266,242
16,0,"""On a Cob"" Planet",2,True,494,490,268,242
17,0,"""On a Cob"" Planet",2,True,495,488,270,242
18,0,"""On a Cob"" Planet",2,True,496,486,272,242
19,0,"""On a Cob"" Planet",2,True,497,484,274,242
20,0,"""On a Cob"" Planet",2,True,498,482,276,242
21,0,"""On a Cob"" Planet",2,False,499,480,276,244
22,0,"""On a Cob"" Planet",2,False,500,478,276,246
23,0,"""On a Cob"" Planet",2,False,501,476,276,248
24,0,"""On a Cob"" Planet",2,False,502,474,276,250
25,0,"""On a Cob"" Planet",2,True,503,472,278,250
26,0,"""On a Cob"" Planet",2,True,504,470,280,250
27,0,"""On a Cob"" Planet",2,True,505,468,282,250
28,0,"""On a Cob"" Planet",2,True,506,466,284,250
29,0,"""On a Cob"" Planet",2,True,507,464,286,250
30,0,"""On a Cob"" Planet",2,False,508,462,286,252
31,0,"""On a Cob"" Planet",2,False,509,460,286,254
32,0,"""On a Cob"" Planet",2,False,510,458,286,256
33,0,"""On a Cob"" Planet",2,False,511,456,286,258
34,0,"""On a Cob"" Planet",2,True,512,454,288,258
35,0,"""On a Cob"" Planet",2,False,513,452,288,260
36,0,"""On a Cob"" Planet",2,True,514,450,290,260
37,0,"""On a Cob"" Planet",2,True,515,448,292,260
38,0,"""On a Cob"" Planet",2,True,516,446,294,260
39,0,"""On a Cob"" Planet",2,True,517,444,296,260
40,0,"""On a Cob"" Planet",2,True,518,442,298,260
41,0,"""On a Cob"" Planet",2,False,519,440,298,262
42,0,"""On a Cob"" Planet",2,False,520,438,298,264
43,0,"""On a Cob"" Planet",2,False,521,436,298,266
44,0,"""On a Cob"" Planet",2,False,522,434,298,268
45,0,"""On a Cob"" Planet",2,False,523,432,298,270
46,0,"""On a Cob"" Planet",2,True,524,430,300,270
47,0,"""On a Cob"" Planet",2,True,525,428,302,270
48,0,"""On a Cob"" Planet",2,True,526,426,304,270
49,0,"""On a Cob"" Planet",2,True,527,424,306,270
50,0,"""On a Cob"" Planet",2,True,528,422,308,270
51,0,"""On a Cob"" Planet",2,False,529,420,308,272
52,0,"""On a Cob"" Planet",2,False,530,418,308,274
53,0,"""On a Cob"" Planet",2,False,531,416,308,276
54,0,"""On a Cob"" Planet",2,False,532,414,308,278
55,0,"""On a Cob"" Planet",2,False,533,412,308,280
56,0,"""On a Cob"" Planet",2,True,534,410,310,280
57,0,"""On a Cob"" Planet",2,True,535,408,312,280
58,0,"""On a Cob"" Planet",2,True,536,406,314,280
59,0,"""On a Cob"" Planet",2,False,537,404,314,282
60,0,"""On a Cob"" Planet",2,True,538,402,316,282
61,0,"""On a Cob"" Planet",2,True,539,400,318,282
62,0,"""On a Cob"" Planet",2,False,540,398,318,284
63,0,"""On a Cob"" Planet",2,False,541,396,318,286
64,0,"""On a Cob"" Planet",2,False,542,394,318,288
65,0,"""On a Cob"" Planet",2,True,543,392,320,288
66,0,"""On a Cob"" Planet",2,True,544,390,322,288
67,0,"""On a Cob"" Planet",2,True,545,388,324,288
68,0,"""On a Cob"" Planet",2,True,546,386,326,288
69,0,"""On a Cob"" Planet",2,True,547,384,328,288
70,0,"""On a Cob"" Planet",2,True,548,382,330,288
71,0,"""On a Cob"" Planet",2,False,549,380,330,290
72,0,"""On a Cob"" Planet",2,False,550,378,330,292
73,0,"""On a Cob"" Planet",2,False,551,376,330,294
74,0,"""On a Cob"" Planet",2,False,552,374,330,296
75,0,"""On a Cob"" Planet",2,True,553,372,332,296
76,0,"""On a Cob"" Planet",2,True,554,370,334,296
77,0,"""On a Cob"" Planet",2,True,555,368,336,296
78,0,"""On a Cob"" Planet",2,True,556,366,338,296
79,0,"""On a Cob"" Planet",2,False,557,364,338,298
80,0,"""On a Cob"" Planet",2,True,558,362,340,298
81,0,"""On a Cob"" Planet",2,False,559,360,340,300
82,0,"""On a Cob"" Planet",2,False,560,358,340,302
83,0,"""On a Cob"" Planet",2,False,561,356,340,304
84,0,"""On a Cob"" Planet",2,False,562,354,340,306
85,0,"""On a Cob"" Planet",2,True,563,352,342,306
86,0,"""On a Cob"" Planet",2,True,564,350,344,306
87,0,"""On a Cob"" Planet",2,True,565,348,346,306
88,0,"""On a Cob"" Planet",2,True,566,346,348,306
89,0,"""On a Cob"" Planet",2,False,567,344,348,308
90,0,"""On a Cob"" Planet",2,True,568,342,350,308
91,0,"""On a Cob"" Planet",2,False,569,340,350,310
92,0,"""On a Cob"" Planet",2,False,570,338,350,312
93,0,"""On a Cob"" Planet",2,False,571,336,350,314
94,0,"""On a Cob"" Planet",2,False,572,334,350,316
95,0,"""On a Cob"" Planet",2,True,573,332,352,316
96,0,"""On a Cob"" Planet",2,True,574,330,354,316
97,0,"""On a Cob"" Planet",2,True,575,328,356,316
98,0,"""On a Cob"" Planet",2,True,576,326,358,316
99,0,"""On a Cob"" Planet",2,True,577,324,360,316
100,0,"""On a Cob"" Planet",2,True,578,322,362,316
101,0,"""On a Cob"" Planet",2,False,579,320,362,318
102,0,"""On a Cob"" Planet",2,False,580,318,362,320
103,0,"""On a Cob"" Planet",2,False,581,316,362,322
104,0,"""On a Cob"" Planet",2,False,582,314,362,324
105,0,"""On a Cob"" Planet",2,True,583,312,364,324
